f_location,latitude,longitude,location
"SUYO RHU,BRGY. POBLACION, SUYO, ILOCOS SUR,Philippines",16.9658223,120.5624474,"Suyo, Ilocos Sur, Philippines"
"TAGUDIN RHU,REAL ST., BRGY. RIZAL, TAGUDIN, ILOCOS SUR,Philippines",16.937513,120.443433,"Tagudin, Tagudin, Ilocos Sur, Philippines"
"VIGAN CITY HEALTH OFFICE,QUEZON AVE., BRGY. I, VIGAN CITY,Philippines",17.5704898,120.3873299,"Vigan City, Ilocos Sur, Philippines"
"ISPH - GABRIELA SILANG,QUIRINO BLVD., BRGY. TAMAG, VIGAN CITY,Philippines",17.5535027,120.3797408,"Quirino Boulevard, Vigan City, Ilocos Sur, Philippines"
"CITY HEALTH OFFICE (DIALYSIS CENTER),SAN FERNANDO  CITY, LA UNION,Philippines",16.6163572,120.3181452,"J889+G7R, F. Ortega Hwy, San Fernando, La Union, Philippines"
"Rural Health Unit,Poblacion, San Gabriel, La Union,Philippines",16.6821537,120.409835,"Poblacion, San Gabriel, La Union, Philippines"
"AGOO MUNICIPAL HEALTH OFFICE,STA BARBARA AGOO, LA UNION,Philippines",16.3246658,120.3550172,"Santa Barbara, 89F4+V26, Agoo, 2504 La Union, Philippines"
"LA UNION MEDICAL CENTER,NAZARENO AGOO, LA UNION,Philippines",16.346667,120.364038,"89W7+MJ7, Agoo, La Union, Philippines"
"Balaoan Municipal Health Office and Birthing Clinic,Antonino, Balaoan, La Union,Philippines",16.8268888,120.4088688,"McArthur Highway, Barangay Antonino, RCG5+QG5, Balaoan, 2517 La Union, Philippines"
"BAGULIN RURAL HEALTH UNIT,PUROK 1, SUYO, BAGULIN LA UNION,Philippines",16.6148678,120.330314,"Purok 1, San Fernando, La Union, Philippines"
"Bangar Municipal Health Office and Birthing Clinic,Ma. Cristina East, Bangar, La Union,Philippines",16.8982089,120.431679,"Bangar, La Union, Philippines"
"SANTO TOMAS RHU AND MATERNAL-CHILD CARE & BIRTHING CLINIC,PATAC, SANTO TOMAS, LA UNION,Philippines",16.2796724,120.4069537,"Patac, Santo Tomas, La Union, Philippines"
