f_location,latitude,longitude,location
"Main Street, Ballybofey, Donegal, F93 Y48P,Ireland",54.79947989999999,-7.7825701,"Ballybofey, Co. Donegal, F93 Y48P, Ireland"
"4-6 Lower Main Street, Letterkenny, Donegal, F92 XR63,Ireland",54.94929320000001,-7.7375861,"4 Lower Main St, Letterkenny, Co. Donegal, F92 XR63, Ireland"
"Unit 8 Letterkenny Retail Park, Letterkenny, Donegal, F92 HE97,Ireland",54.9483115,-7.7294845,"Letterkenny Forte Retail Park, Neil T Blaney Rd, Letterkenny, Co. Donegal, Ireland"
"Ardaravan Square, Buncrana, Donegal, F93 K650,Ireland",55.132978,-7.4512595,"Ardaravan Square, Ardaravan, Buncrana, Co. Donegal, Ireland"
"Main Street, Donegal Town, Donegal, F94KW2P,Ireland",54.6537771,-8.1084158,"Main St, Donegal, Ireland"
"Unit 1 Millbrae Business Park, Carndonagh, Donegal, F93 RK76,Ireland",55.2468509,-7.2662628,"Unit 3, Millbrae Business Park, Millbrae, Ballylosky, Carndonagh, Co. Donegal, Ireland"
"Unit 5 Devlin Complex, Bridgend, Donegal, F93 K03Y,Ireland",55.041128,-7.378966600000001,"Bunnamayne, Co. Donegal, F93 K03Y, Ireland"
"The Diamond, Ballyshannon, Donegal, F94 D72W,Ireland",54.5017929,-8.1903812,"Townparks, Co. Donegal, F94 D72W, Ireland"
"Main Street, Donegal Town, Donegal, F94 NPX2,Ireland",54.6537771,-8.1084158,"Main St, Donegal, Ireland"
"Bridge Street, Lifford, Donegal, F93 YR25,Ireland",54.8320748,-7.4811066,"Bridge St, Co. Donegal, Ireland"
"Unit 1, Park House, Ramelton Road, Letterkenny, Donegal, F92 HW28,Ireland",54.95390690000001,-7.7086241,"Park House, Ballyraine, Letterkenny, Co. Donegal, Ireland"
"Market Square, Moville, Donegal, F93 RH92,Ireland",55.1893043,-7.0398907,"Ballynally, Co. Donegal, F93 RH92, Ireland"
"Bridge Street, Lifford, Donegal, F93 YR25,Ireland",54.8320748,-7.4811066,"Bridge St, Co. Donegal, Ireland"
"Glencar Shopping Centre, Letterkenny, Donegal, D92 DW9N,Ireland",54.9572967,-7.743353099999999,"Glencar Shopping Centre, 1 Circular Rd, Ballyboe Glencar, Letterkenny, Co. Donegal, F92 YK50, Ireland"
"Magheraclogher, Bunbeg, Donegal,Ireland",55.060874,-8.3003485,"Magheraclogher, Bunbeg, Co. Donegal, Ireland"
"Main Street, Moville, Donegal, F93 PXF7,Ireland",55.1890471,-7.039814300000001,"Main Street Moville, Ballynally, Co. Donegal, Ireland"
"Carnmore Road, Dungloe, Donegal, F94 CR2T,Ireland",54.9508273,-8.349028,"Carnmore Rd, Dunglow, Co. Donegal, Ireland"
"17 Main Street, Dungloe, Donegal, F94 C8EW,Ireland",54.9500328,-8.36033,"17 Main St, Dunglow, Dungloe, Co. Donegal, F94 C8EW, Ireland"
"Main Street, Milford, Letterkenny, Donegal, F92 VP82,Ireland",55.0886478,-7.6990925,"Main St, Millford, Co. Donegal, Ireland"
"Main Street, NewtownCunningham, Donegal, F93 T6XR,Ireland",54.9962195,-7.5197416,"Newtowncunningham, Co. Donegal, F93 T6XR, Ireland"
"43 Lower Main Street, Buncrana, Donegal, F93 XT0C,Ireland",55.1330961,-7.4528846,"43 Lower Main St, Ardaravan, Buncrana, Co. Donegal, Ireland"
"Shopping Centre, Ballybofey, Donegal, F93 X365,Ireland",54.7997437,-7.7782958,"Ballybofey, Co. Donegal, F93 X365, Ireland"
"Railway Road, Buncrana, Donegal, F93 WK25,Ireland",55.1076205,-7.4696545,"Railway Rd, Co. Donegal, Ireland"
