f_location,latitude,longitude,location
"Shop 5, 153 Anzac Highway, KURRALTA PARK, SA 5037,Australia",-34.9562572,138.5651496,"Unit 5/153 Anzac Hwy, Kurralta Park SA 5037, Australia"
"Shop 2, 242-248 Kensington Road, MARRYATVILLE, SA 5068,Australia",-34.927205,138.6506766,"242/248 Kensington Rd, Marryatville SA 5068, Australia"
"380 Goodwood Road, CUMBERLAND PARK, SA 5041,Australia",-34.9691169,138.5907437,"380 Goodwood Rd, Cumberland Park SA 5041, Australia"
"252 Kensington Road, LEABROOK, SA 5068,Australia",-34.9265476,138.6516372,"252 Kensington Rd, Kensington Park SA 5068, Australia"
"Shop 6, 53-57 Grange Road, WELLAND, SA 5007,Australia",-34.9038968,138.5600403,"shop 6/53/57 Grange Rd, Welland SA 5007, Australia"
"Shop 2, 267 - 269 Marion Road, MARLESTON, SA 5033,Australia",-34.9487335,138.5539987,"267/269 Marion Rd, Marleston SA 5033, Australia"
"191 South Road, RIDLEYTON, SA 5008,Australia",-34.8942325,138.568845,"191 South Rd, Ridleyton SA 5008, Australia"
"113 Prospect Road, PROSPECT, SA 5082,Australia",-34.8853702,138.5944087,"113 Prospect Rd, Prospect SA 5082, Australia"
"6-8 Lower Portrush Road, MARDEN, SA 5070,Australia",-34.8958103,138.6381343,"6 Lower Portrush Rd, Payneham SA 5070, Australia"
"37 North Street, COLLINSWOOD, SA 5081,Australia",-34.8853576,138.6136561,"37 North St, Collinswood SA 5081, Australia"
"188 Main North Road, PROSPECT, SA 5082,Australia",-34.8826387,138.6022858,"188 Main N Rd, Prospect SA 5082, Australia"
"Mitcham Square Shopping Centre, Shop 29, 119 Belair Road, TORRENS PARK, SA 5062,Australia",-34.9752018,138.6103182,"119 Belair Rd, Torrens Park SA 5062, Australia"
"Welland Plaza, Shop 14-15, 522 Port Road, WELLAND, SA 5007,Australia",-34.8966394,138.5571849,"Shop 14-15/522 Port Rd, Welland SA 5007, Australia"
"537 Glynburn Road, HAZELWOOD PARK, SA 5066,Australia",-34.9396743,138.65992,"537 Glynburn Rd, Hazelwood Park SA 5066, Australia"
"Shop 11, 171 Glynburn Road, FIRLE, SA 5070,Australia",-34.9056323,138.6567079,"Shop 11/171 Glynburn Rd, Firle SA 5070, Australia"
"209 Churchill Road, PROSPECT, SA 5082,Australia",-34.8792699,138.5848637,"209 Churchill Rd, Prospect SA 5082, Australia"
"187 FRANKLIN STREET, ADELAIDE, SA 5000,Australia",-34.9280748,138.5921522,"187 Franklin St, Adelaide SA 5000, Australia"
"Suite 6, 50 Hutt Street, ADELAIDE, SA 5000,Australia",-34.9267936,138.6123411,"6/50 Hutt St, Adelaide SA 5000, Australia"
"127 Glynburn Road, GLYNDE, SA 5070,Australia",-34.90059,138.6569301,"127 Glynburn Rd, Glynde SA 5070, Australia"
"Unit 2, 520 Henley Beach Road, FULHAM, SA 5024,Australia",-34.926233,138.5172766,"2/520 Henley Beach Rd, Fulham SA 5024, Australia"
"161 St Bernards Road, ROSTREVOR, SA 5073,Australia",-34.8963593,138.6755311,"161 St Bernards Rd, Rostrevor SA 5073, Australia"
"520 Anzac Highway, GLENELG EAST, SA 5045,Australia",-34.9757938,138.5372566,"520 Anzac Hwy, Glenelg East SA 5045, Australia"
"132-134 Fosters Road, HILLCREST, SA 5086,Australia",-34.8598877,138.6365441,"132/134 Fosters Rd, Hillcrest SA 5086, Australia"
"695 Burbridge Road, WEST BEACH, SA 5024,Australia",-34.936899,138.5054355,"695 Burbridge Rd, West Beach SA 5024, Australia"
"Gilles Plains, 575 North East Road, GILLES PLAINS, SA 5086,Australia",-34.8567267,138.6556894,"Gilles Plains Shopping Centre, 575 North East Road, Gilles Plains SA 5086, Australia"
"1 Cliff Street, GLENELG EAST, SA 5045,Australia",-34.9868006,138.5238472,"1 Cliff St, Glenelg East SA 5045, Australia"
"Henley Square Shopping Centre, SHOP 33, 330-338 Seaview Road, HENLEY BEACH, SA 5022,Australia",-34.9193392,138.494391,"SHOP 33/330 Seaview Rd, Henley Beach SA 5022, Australia"
"24 Frederick Road, WEST LAKES, SA 5021,Australia",-34.8770591,138.5031676,"24 Frederick Rd, West Lakes SA 5021, Australia"
"Shop 2057, 297 Diagonal Road, OAKLANDS PARK, SA 5046,Australia",-35.0159431,138.5449092,"Shop 2057/297 Diagonal Rd, Oaklands Park SA 5046, Australia"
"Bartley Terrace Shoping Centre, Shop 5, 3 Bartley Terrace, WEST LAKES SHORE, SA 5020,Australia",-34.8523266,138.4933256,"Unit 5/3 Bartley Terrace, Semaphore Park SA 5019, Australia"
