Vaccination_sites,Address,Latitude,Longitude
Nakasongola Health Centre  IV,"8FC8+VP4, Nakasongola, Uganda",1.3221322,32.4668298
Nakitoma Health Centre  III,Uganda,1.5183,32.0897
Nalinya ndagire Health Centre  III,Uganda,0.6067,32.4765
Namalu Health Centre  III,Uganda,1.789,34.5978
Namasale Health Centre III,"GPW2+4H9, Katangira, Uganda",1.5452751,32.7014819
Namayumba  Health Centre  III,"Namayumba, Uganda",0.5282124,32.2504998
Nambieso Health Centre  III,"VQ9V+9QJ, Nabyeso, Uganda",1.8684667,32.7943877
NAMUGONGO Health Centre  III,"Namugongo, Kampala, Uganda",0.3850624,32.6475256
Namungalwe Health Centre  III,"Namungalwe, Uganda",0.7178,33.4926
Namutumba Health Centre  III,Uganda,0.8277,33.6883
Namwendwa Health Centre  IV,Uganda,0.928,33.264
Natirae Health Centre  II,Uganda,1.9184,34.5163
NAWAIKOKE Health Centre  III,"3CQ4+QCQ, Nawaikoke, Uganda",1.0894691,33.4061086
Ndeija Health Centre  III,"Ndeija, Uganda",-0.7646064,30.4127161
Ndejje Health Centre  IV,"Kampala, Uganda",0.242,32.578
Nebbi Hospital,"F3HP+265, Nebbi, Uganda",2.4775085,31.0856029
Ngariam Health Centre  III,"Ngariam, Uganda",1.8246552,34.1309397
Ngenge Health Centre  III,"GG42+327, Ngenge, Uganda",1.5051623,34.5000598
Ngora district maternity Health Centre  III,"Ngora, Uganda",1.4908115,33.7517723
Ngora Health Centre  IV,"Ngora, Uganda",1.4569467,33.778309
Njeru Health Centre III,"Namwezi Rd, Mbiko. K'la-Jinja Highway/c/o Njeru Town Council, P.O.Box 1, Njeru, Uganda",0.4350984,33.1533158
Nkokonjeru Hospital,"Nkokonjeru, Uganda",0.249508,32.910938
Nkoni Health Centre  III,Uganda,-0.3449999,31.635
Nkozi Hospital,"Nkozi University Polling Station,, Dinning Hall, Uganda",0.0026262,32.0161413
Nsangi Health Centre  III,"Kitala, Uganda",0.2738,32.4479
Nsiika Health Centre  IV,Uganda,-0.374,30.428
Nsinze Health Centre  III,"Nsinze, Uganda",0.823167,33.59798
Ntandi Health Centre  III,"Ntandi, Uganda",0.8084373,30.1495482
Ntoroko Health Centre  III,Uganda,1.042,30.534
Ntungamo Health Centre  IV,Uganda,-0.867,30.264
Ntwetwe Health Centre  IV,"Ntwetwe, Uganda",0.9497424,31.5897976
Nyabbani Health Centre  III,Uganda,0.074,30.418
Nyabihuniko Health Centre  III,Uganda,-1.291,29.714
Nyabubare Health Centre  III,Uganda,-0.543,30.055
